Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0044091,2017-08-25,2017-08-25,,Superman and the Mole-Men,https://www.imdb.com/title/tt0044091/,movie,5.9,58,1951,"Action, Adventure, Drama, Family, Fantasy, Romance, Sci-Fi",1459,1951-11-23,Lee Sholem
2,tt0060153,2017-08-25,2017-08-25,,Batman: The Movie,https://www.imdb.com/title/tt0060153/,movie,6.5,105,1966,"Adventure, Comedy, Crime, Family",26939,1966-07-30,Leslie H. Martinson
3,tt0072419,2017-08-25,2017-08-25,,Wonder Woman,https://www.imdb.com/title/tt0072419/,tvMovie,4.8,73,1974,Fantasy,635,1974-03-12,Vincent McEveety
4,tt0073449,2017-08-25,2017-08-25,,Wonder Woman: The New Original Wonder Woman,https://www.imdb.com/title/tt0073449/,tvEpisode,7.2,74,1975,"Action, Adventure, Drama, Family, Fantasy, Sci-Fi",632,1975-11-07,Leonard J. Horn
5,tt0078346,2017-08-25,2017-08-25,,Superman,https://www.imdb.com/title/tt0078346/,movie,7.3,143,1978,"Action, Adventure, Drama, Sci-Fi",144105,1978-12-10,Richard Donner
6,tt0081573,2017-08-25,2017-08-25,,Superman II,https://www.imdb.com/title/tt0081573/,movie,6.8,127,1980,"Action, Adventure, Sci-Fi",88258,1980-12-04,"Richard Donner, Richard Lester"
7,tt0084745,2017-08-25,2017-08-25,,Swamp Thing,https://www.imdb.com/title/tt0084745/,movie,5.4,91,1982,"Horror, Sci-Fi",11269,1982-02-19,Wes Craven
8,tt0086393,2017-08-25,2017-08-25,,Superman III,https://www.imdb.com/title/tt0086393/,movie,4.9,125,1983,"Action, Comedy, Sci-Fi",57878,1983-06-17,Richard Lester
9,tt0088206,2017-08-25,2017-08-25,,Supergirl,https://www.imdb.com/title/tt0088206/,movie,4.4,150,1984,"Action, Adventure, Fantasy, Romance, Sci-Fi",16398,1984-07-19,Jeannot Szwarc
10,tt0094074,2017-08-25,2017-08-25,,Superman IV: The Quest for Peace,https://www.imdb.com/title/tt0094074/,movie,3.7,90,1987,"Action, Adventure, Family, Sci-Fi",38325,1987-07-23,Sidney J. Furie
11,tt0094017,2017-08-25,2017-08-25,,The Spirit,https://www.imdb.com/title/tt0094017/,tvMovie,5.7,74,1987,Action,153,1987-07-31,Michael Schultz
12,tt0098193,2017-08-25,2017-08-25,,The Return of Swamp Thing,https://www.imdb.com/title/tt0098193/,movie,4.5,88,1989,"Sci-Fi, Horror, Comedy, Action, Adventure",3403,1989-05-12,Jim Wynorski
13,tt0096895,2017-08-25,2017-08-25,,Batman,https://www.imdb.com/title/tt0096895/,movie,7.5,126,1989,"Action, Adventure",305164,1989-06-19,Tim Burton
