Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
1,tt0458339,2017-08-03,2017-08-03,,Captain America: The First Avenger,https://www.imdb.com/title/tt0458339/,movie,6.9,124,2011,"Action, Adventure, Sci-Fi",625050,2011-07-19,Joe Johnston
2,tt0371746,2017-08-03,2017-08-03,,Iron Man,https://www.imdb.com/title/tt0371746/,movie,7.9,126,2008,"Action, Adventure, Sci-Fi",820766,2008-04-14,Jon Favreau
3,tt0800080,2017-08-03,2017-08-03,,The Incredible Hulk,https://www.imdb.com/title/tt0800080/,movie,6.8,112,2008,"Action, Adventure, Sci-Fi",382464,2008-06-06,Louis Leterrier
4,tt1228705,2017-08-03,2017-08-03,,Iron Man 2,https://www.imdb.com/title/tt1228705/,movie,7.0,124,2010,"Action, Sci-Fi",622662,2010-04-26,Jon Favreau
5,tt0800369,2017-08-03,2017-08-03,,Thor,https://www.imdb.com/title/tt0800369/,movie,7.0,115,2011,"Action, Adventure, Fantasy, Sci-Fi",645967,2011-04-17,Kenneth Branagh
6,tt0848228,2017-08-03,2017-08-03,,The Avengers,https://www.imdb.com/title/tt0848228/,movie,8.1,143,2012,"Action, Adventure, Sci-Fi",1135632,2012-04-11,Joss Whedon
7,tt1300854,2017-08-03,2017-08-03,,Iron Man 3,https://www.imdb.com/title/tt1300854/,movie,7.2,130,2013,"Action, Adventure, Sci-Fi",657983,2013-04-12,Shane Black
8,tt1981115,2017-08-03,2017-08-03,,Thor: The Dark World,https://www.imdb.com/title/tt1981115/,movie,7.0,112,2013,"Action, Adventure, Fantasy",509363,2013-10-22,Alan Taylor
9,tt1843866,2017-08-03,2017-08-03,,Captain America: The Winter Soldier,https://www.imdb.com/title/tt1843866/,movie,7.8,136,2014,"Action, Adventure, Sci-Fi, Thriller",624981,2014-03-13,"Anthony Russo, Joe Russo"
10,tt2015381,2017-08-03,2017-08-03,,Guardians of the Galaxy,https://www.imdb.com/title/tt2015381/,movie,8.1,121,2014,"Action, Adventure, Comedy, Sci-Fi",890869,2014-07-21,James Gunn
11,tt3896198,2017-08-03,2017-08-03,,Guardians of the Galaxy Vol. 2,https://www.imdb.com/title/tt3896198/,movie,7.7,136,2017,"Action, Adventure, Comedy, Sci-Fi",426550,2017-04-10,James Gunn
12,tt2395427,2017-08-03,2017-08-03,,Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/,movie,7.4,141,2015,"Action, Adventure, Sci-Fi",615457,2015-04-13,Joss Whedon
13,tt0478970,2017-08-03,2017-08-03,,Ant-Man,https://www.imdb.com/title/tt0478970/,movie,7.3,117,2015,"Action, Adventure, Comedy, Sci-Fi",460392,2015-06-29,Peyton Reed
14,tt3498820,2017-08-03,2017-08-03,,Captain America: Civil War,https://www.imdb.com/title/tt3498820/,movie,7.8,147,2016,"Action, Adventure, Sci-Fi",534583,2016-04-12,"Anthony Russo, Joe Russo"
15,tt2250912,2018-04-24,2018-04-24,,Spider-Man: Homecoming,https://www.imdb.com/title/tt2250912/,movie,7.5,133,2017,"Action, Adventure, Sci-Fi",373613,2017-06-28,Jon Watts
16,tt1211837,2017-08-03,2017-08-03,,Doctor Strange,https://www.imdb.com/title/tt1211837/,movie,7.5,115,2016,"Action, Adventure, Fantasy, Sci-Fi",462800,2016-10-13,Scott Derrickson
17,tt3501632,2017-08-03,2017-08-03,,Thor: Ragnarok,https://www.imdb.com/title/tt3501632/,movie,7.9,130,2017,"Action, Adventure, Comedy, Fantasy, Sci-Fi",408521,2017-10-10,Taika Waititi
18,tt1825683,2017-08-03,2017-08-03,,Black Panther,https://www.imdb.com/title/tt1825683/,movie,7.4,134,2018,"Action, Adventure, Sci-Fi",421853,2018-01-29,Ryan Coogler
19,tt4154756,2017-08-03,2017-08-03,,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,movie,8.5,149,2018,"Action, Adventure, Fantasy, Sci-Fi",534685,2018-04-23,"Anthony Russo, Joe Russo"
20,tt5095030,2017-08-03,2017-08-03,,Ant-Man and the Wasp,https://www.imdb.com/title/tt5095030/,movie,7.2,118,2018,"Action, Adventure, Comedy, Sci-Fi",160359,2018-06-25,Peyton Reed
21,tt4154664,2017-08-03,2017-08-03,,Captain Marvel,https://www.imdb.com/title/tt4154664/,movie,,,2019,"Action, Adventure, Sci-Fi",,2019-03-06,"Anna Boden, Ryan Fleck"
