	age_actor	avg_rating	count_movies	summary_rating	summary_votes	year
0	21	7.5	1	7.5	179604	1984
1	22	7.133333333333333	3	21.4	6963	1985
30	23	7.2	1	7.2	46	1986
2	24	7.496	25	187.4	12252	1987
18	25	7.5470588235294125	17	128.3	1391	1988
19	26	7.569230769230769	26	196.79999999999998	1642	1989
3	27	7.205555555555557	18	129.70000000000002	455796	1990
31	28	7.6	1	7.6	118	1991
4	30	7.466666666666668	3	22.400000000000002	281813	1993
5	31	7.300000000000001	2	14.600000000000001	199990	1994
6	32	7.566666666666666	3	22.7	117856	1995
7	34	7.1	2	14.2	259140	1997
8	35	7.7	1	7.7	237588	1998
11	36	7.019999999999999	5	35.099999999999994	501609	1999
12	37	7.75	2	15.5	22488	2000
9	38	7.199999999999999	2	14.399999999999999	356942	2001
13	40	7.2	2	14.4	1084429	2003
14	41	6.800000000000001	4	27.200000000000003	392208	2004
10	42	7.050000000000001	4	28.200000000000003	595246	2005
16	43	7.599999999999999	3	22.799999999999997	610428	2006
17	44	7.25	2	14.5	859087	2007
20	45	8.7	1	8.7	24	2008
23	46	7.35	2	14.7	264590	2009
21	47	6.25	2	12.5	551247	2010
15	48	7.12	5	35.6	740421	2011
22	49	7.15	2	14.3	225245	2012
24	50	6.4	1	6.4	204579	2013
27	51	6.3	1	6.3	200158	2014
25	52	6.833333333333333	3	20.5	211033	2015
29	53	5.5	3	16.5	88266	2016
26	54	6.824999999999999	4	27.299999999999997	213800	2017
28	55	7.225	4	28.9	84009	2018
